종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
092070,디엔에프,"14,800","-250","1.66","14,800","14,700","43,383","636,291,950","15,000","15,000","14,350","500",원(KRW),"10,761,828","159,275,054,400",
101000,디엠씨,"6,090","-120","1.93","6,100","6,090","746,083","4,496,161,520","6,130","6,230","5,880","500",원(KRW),"12,764,625","77,736,566,250",
134580,디엠티,"3,830","-40","1.03","3,830","3,820","55,706","211,477,310","3,830","3,905","3,740","500",원(KRW),"11,250,000","43,087,500,000",
039840,디오,"45,750","-1,200","2.56","45,750","45,600","69,646","3,194,391,800","46,750","46,950","45,100","500",원(KRW),"15,171,403","694,091,687,250",
079810,디이엔티,"7,800","-100","1.27","7,800","7,790","70,953","549,194,980","7,940","7,950","7,500","500",원(KRW),"8,300,000","64,740,000,000",
113810,디젠스,"1,875","-30","1.57","1,880","1,875","98,953","184,738,415","1,930","1,930","1,845","500",원(KRW),"21,625,452","40,547,722,500",
043360,디지아이,"5,340","490","10.10","5,340","5,330","3,207,595","17,731,505,390","4,880","5,870","4,880","500",원(KRW),"9,000,000","48,060,000,000",
106520,디지탈옵틱,"4,865","-265","5.17","4,865","4,850","492,588","2,398,156,110","5,140","5,200","4,730","500",원(KRW),"20,674,616","100,582,006,840",
068930,디지털대성,"3,745","30","0.00","0","0","0","0","0","0","0","500",원(KRW),"22,184,723","83,081,787,635",
033130,디지틀조선,"3,915","45","1.16","3,915","3,910","1,071,454","4,140,840,395","3,945","3,970","3,755","500",원(KRW),"37,115,267","145,306,270,305",
033310,디케이디앤아이,"2,430","-30","1.22","2,430","2,425","19,068","46,209,185","2,460","2,485","2,400","500",원(KRW),"21,972,411","53,392,958,730",
105740,디케이락,"5,760","80","1.41","5,760","5,740","21,827","125,293,660","5,680","5,850","5,680","500",원(KRW),"7,855,554","45,247,991,040",
187220,디티앤씨,"8,850","-100","1.12","8,890","8,850","32,228","282,625,370","8,940","9,030","8,690","500",원(KRW),"9,854,054","87,208,377,900",
131180,딜리,"2,475","5","0.20","2,475","2,470","23,310","57,170,690","2,470","2,475","2,430","100",원(KRW),"29,350,000","72,641,250,000",
